Accident_Index,Accident Date,Month,Year,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
BS0000001,01-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.512273,Daylight,Kensington and Chelsea,None,-0.201349,1,2,Metropolitan Police,Dry,One way street,30,15:11,Urban,Fine no high winds,Car
BS0000002,05-01-2021,Jan,2021,Monday,Give way or uncontrolled,Crossroads,Serious,51.514399,Daylight,Kensington and Chelsea,None,-0.199248,11,2,Metropolitan Police,Wet or damp,Single carriageway,30,10:59,Urban,Fine no high winds,Taxi/Private hire car
BS0000003,04-01-2021,Jan,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.486668,Daylight,Kensington and Chelsea,None,-0.179599,1,2,Metropolitan Police,Dry,Single carriageway,30,14:19,Urban,Fine no high winds,Taxi/Private hire car
BS0000004,05-01-2021,Jan,2021,Monday,Auto traffic signal,T or staggered junction,Serious,51.507804,Daylight,Kensington and Chelsea,None,-0.20311,1,2,Metropolitan Police,Frost or ice,Single carriageway,30,08:10,Urban,Other,Motorcycle over 500cc
BS0000005,06-01-2021,Jan,2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Car
BS0000006,01-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.493415,Daylight,Kensington and Chelsea,None,-0.185525,3,2,Metropolitan Police,Dry,Single carriageway,30,11:48,Urban,Fine no high winds,Car
BS0000007,08-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.480177,Daylight,Kensington and Chelsea,None,-0.178561,1,2,Metropolitan Police,Dry,Single carriageway,30,13:58,Urban,Fine no high winds,Motorcycle over 500cc
BS0000008,02-01-2021,Jan,2021,Friday,Auto traffic signal,Crossroads,Slight,51.491957,Daylight,Kensington and Chelsea,None,-0.178524,1,1,Metropolitan Police,Dry,Dual carriageway,30,13:18,Urban,Fine no high winds,Car
BS0000009,07-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.49646,Daylight,Kensington and Chelsea,None,-0.167395,2,1,Metropolitan Police,Dry,Single carriageway,30,12:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000010,10-01-2021,Jan,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,Kensington and Chelsea,None,-0.183275,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,09:52,Urban,Other,Car
BS0000011,07-01-2021,Jan,2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,00:09,Urban,Fine no high winds,Car
BS0000012,16-01-2021,Jan,2021,Friday,Auto traffic signal,Crossroads,Slight,51.494995,Darkness - lights lit,Kensington and Chelsea,None,-0.183013,1,1,Metropolitan Police,Dry,Single carriageway,30,17:49,Urban,Fine no high winds,Car
BS0000013,12-01-2021,Jan,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.498778,Daylight,Kensington and Chelsea,None,-0.206779,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:00,Urban,Raining no high winds,Car
BS0000014,09-01-2021,Jan,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.506187,Daylight,Kensington and Chelsea,None,-0.209082,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,08:15,Urban,Raining no high winds,Car
BS0000015,17-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.493077,Daylight,Kensington and Chelsea,None,-0.169548,1,2,Metropolitan Police,Dry,Single carriageway,30,12:15,Urban,Fine no high winds,Car
BS0000016,25-01-2021,Jan,2021,Sunday,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,22:05,Urban,Fine no high winds,Car
BS0000017,26-01-2021,Jan,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.488673,Darkness - lights lit,Kensington and Chelsea,None,-0.169724,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000018,26-01-2021,Jan,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.482363,Darkness - lights lit,Kensington and Chelsea,None,-0.186108,1,1,Metropolitan Police,Dry,Single carriageway,30,17:05,Urban,Fine no high winds,Car
BS0000019,19-01-2021,Jan,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.49391,Daylight,Kensington and Chelsea,None,-0.176861,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:27,Urban,Fine no high winds,Car
BS0000020,27-01-2021,Jan,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.509296,Darkness - lights lit,Kensington and Chelsea,None,-0.194837,1,1,Metropolitan Police,Dry,Single carriageway,30,00:28,Urban,Fine no high winds,Car
BS0000021,21-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.50228,Darkness - lights lit,Kensington and Chelsea,None,-0.188919,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car
BS0000022,22-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507588,Darkness - lights lit,Kensington and Chelsea,None,-0.194905,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car
BS0000023,31-01-2021,Jan,2021,Saturday,Auto traffic signal,Crossroads,Serious,51.488585,Daylight,Kensington and Chelsea,None,-0.193063,2,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
BS0000024,03-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.528344,Daylight,Kensington and Chelsea,None,-0.217295,1,2,Metropolitan Police,Snow,Single carriageway,30,13:25,Urban,Other,Car
BS0000025,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499201,Darkness - lights lit,Kensington and Chelsea,None,-0.164404,2,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
BS0000026,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Serious,51.517081,Daylight,Kensington and Chelsea,None,-0.204042,2,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000027,29-01-2021,Jan,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.48944,Daylight,Kensington and Chelsea,None,-0.190148,1,1,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,Car
BS0000028,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,20,12:03,Urban,Fine no high winds,Car
BS0000029,29-01-2021,Jan,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.508624,Daylight,Kensington and Chelsea,None,-0.203799,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
BS0000030,31-01-2021,Jan,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.491173,Darkness - lights lit,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,01:01,Urban,Fine no high winds,Car
BS0000031,28-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495478,Daylight,Kensington and Chelsea,None,-0.202731,1,1,Metropolitan Police,Wet or damp,One way street,30,07:45,Urban,Raining no high winds,Car
BS0000032,27-01-2021,Jan,2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.495658,Daylight,Kensington and Chelsea,None,-0.173622,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car
BS0000033,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,Kensington and Chelsea,None,-0.163518,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:08,Urban,Fine no high winds,Car
BS0000034,22-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507802,Darkness - lights lit,Kensington and Chelsea,None,-0.202966,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:19,Urban,Fine no high winds,Car
BS0000035,29-01-2021,Jan,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.508972,Darkness - lights lit,Kensington and Chelsea,None,-0.197156,1,1,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
BS0000036,20-01-2021,Jan,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.513036,Daylight,Kensington and Chelsea,None,-0.204201,1,1,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
BS0000037,17-01-2021,Jan,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,Kensington and Chelsea,None,-0.206531,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000038,15-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.491908,Daylight,Kensington and Chelsea,None,-0.192787,1,1,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000039,09-02-2021,Feb,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497811,Daylight,Kensington and Chelsea,None,-0.202351,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,09:15,Urban,Raining no high winds,Car
BS0000040,28-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.486273,Daylight,Kensington and Chelsea,None,-0.171549,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Raining no high winds,Car
BS0000041,23-01-2021,Jan,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500738,Daylight,Kensington and Chelsea,None,-0.193879,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Fine no high winds,Car
BS0000042,26-01-2021,Jan,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.50012,Daylight,Kensington and Chelsea,None,-0.1599,1,2,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Car
BS0000043,03-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49209,Daylight,Kensington and Chelsea,None,-0.192924,1,1,Metropolitan Police,Dry,One way street,30,09:58,Urban,Fine no high winds,Car
BS0000044,10-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,Kensington and Chelsea,None,-0.160698,1,2,Metropolitan Police,Wet or damp,One way street,30,08:10,Urban,Fine no high winds,Car
BS0000045,30-01-2021,Jan,2021,Friday,Auto traffic signal,Roundabout,Slight,51.504672,Daylight,Hammersmith and Fulham,None,-0.215914,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:28,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000046,28-01-2021,Jan,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506379,Darkness - lights lit,Kensington and Chelsea,None,-0.204031,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:53,Urban,Raining no high winds,Car
BS0000047,29-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.480175,Daylight,Kensington and Chelsea,None,-0.178417,1,2,Metropolitan Police,Dry,Single carriageway,30,14:05,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000048,10-02-2021,Feb,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.491836,Darkness - lights lit,Kensington and Chelsea,None,-0.159225,1,1,Metropolitan Police,Dry,Single carriageway,30,23:55,Urban,Fine no high winds,Car
